sim,year,species_code,ess,value
1,2017,10110,ess_f,312.49261611510065
1,2017,10130,ess_f,52.513068014685295
1,2017,10180,ess_f,202.71034546294968
1,2017,10200,ess_f,11.365955703007833
1,2017,10261,ess_f,209.61784805278208
1,2017,10262,ess_f,521.1627432632345
1,2017,21720,ess_f,126.28152501077005
1,2017,21740,ess_f,0.7618602540283798
1,2017,30060,ess_f,20.868912478595387
1,2019,10110,ess_f,6.959720096029769
1,2019,10130,ess_f,7.228792707993485
1,2019,10180,ess_f,14.051414928503027
1,2019,10200,ess_f,5.41828716857385
1,2019,10262,ess_f,534.8313802229098
1,2019,21720,ess_f,105.6115013774864
1,2019,21740,ess_f,3.6719312305040646
1,2019,30060,ess_f,19.671750638287367
1,2021,21740,ess_f,281.9443645852281
1,2017,10110,ess_m,139.4695531838706
1,2017,10130,ess_m,43.962431855882436
1,2017,10180,ess_m,242.83546534532206
1,2017,10200,ess_m,11.621174983768833
1,2017,10261,ess_m,142.04191231912566
1,2017,10262,ess_m,231.41573736667385
1,2017,21720,ess_m,38.24038428345271
1,2017,21740,ess_m,0.621994316583457
1,2017,30060,ess_m,22.98725200160278
1,2019,10110,ess_m,6.26545164463733
1,2019,10130,ess_m,5.819859360904539
1,2019,10180,ess_m,17.65660593088567
1,2019,10200,ess_m,5.085124563042614
1,2019,10262,ess_m,449.1580898806163
1,2019,21720,ess_m,54.172442081373056
1,2019,21740,ess_m,4.047376989555434
1,2019,30060,ess_m,20.482509073701376
1,2021,21740,ess_m,276.5256043744289
1,2017,10110,ess_t,544.6401740128825
1,2017,10130,ess_t,82.1031905317129
1,2017,10180,ess_t,430.8108909821808
1,2017,10200,ess_t,23.182180727929545
1,2017,10261,ess_t,246.95962891646468
1,2017,10262,ess_t,686.2003012560303
1,2017,21720,ess_t,100.1001691551699
1,2017,21740,ess_t,3.749164421259661
1,2017,30060,ess_t,40.39586808972777
1,2019,10110,ess_t,13.701090325480482
1,2019,10130,ess_t,16.730323331708213
1,2019,10180,ess_t,22.750819454547734
1,2019,10200,ess_t,11.239086035650637
1,2019,10262,ess_t,1004.8359480029827
1,2019,21720,ess_t,100.43755761600708
1,2019,21740,ess_t,10.31736168022161
1,2019,30060,ess_t,40.48702086342391
1,2021,21740,ess_t,513.5979270009965
2,2017,10110,ess_f,268.1955062785663
2,2017,10130,ess_f,45.80178092797376
2,2017,10180,ess_f,159.49356732922996
2,2017,10200,ess_f,10.83078291759481
2,2017,10261,ess_f,240.89579373066493
