sim,year,species_code,ess,value,in_out
1,2014,10110,ess_f,1544.9290699106957,in
1,2016,10110,ess_f,722.4865241839124,in
1,2018,10110,ess_f,1053.4051750648123,in
1,2014,10130,ess_f,898.6316596271002,in
1,2016,10130,ess_f,280.3758622246922,in
1,2018,10130,ess_f,846.1148666372386,in
1,2014,21720,ess_f,561.2320698899728,in
1,2016,21720,ess_f,756.9736885680431,in
1,2018,21720,ess_f,828.7080336527385,in
1,2014,21740,ess_f,414.659208190001,in
1,2016,21740,ess_f,31.52725947583,in
1,2018,21740,ess_f,316.97578501613253,in
1,2014,21921,ess_f,165.38351760510176,in
1,2016,21921,ess_f,171.957439745133,in
1,2018,21921,ess_f,201.1881492936456,in
1,2014,30020,ess_f,337.5664526864794,in
1,2016,30020,ess_f,46.74453247808845,in
1,2018,30020,ess_f,59.56494764882601,in
1,2014,30060,ess_f,1453.891911352282,in
1,2016,30060,ess_f,1060.603132979394,in
1,2018,30060,ess_f,604.8459936261974,in
1,2014,30420,ess_f,151.74156314870845,in
1,2016,30420,ess_f,211.29627566329776,in
1,2018,30420,ess_f,624.0344482606572,in
1,2014,10110,ess_m,819.0794184993563,in
1,2016,10110,ess_m,110.85664648647382,in
1,2018,10110,ess_m,464.4201483066975,in
1,2014,10130,ess_m,409.41488505807985,in
1,2016,10130,ess_m,223.09450352705582,in
1,2018,10130,ess_m,715.9131511911389,in
1,2014,21720,ess_m,658.9322979095516,in
1,2016,21720,ess_m,830.791102191761,in
1,2018,21720,ess_m,1011.3048856641991,in
1,2014,21740,ess_m,322.1386823836578,in
1,2016,21740,ess_m,45.25333051884694,in
1,2018,21740,ess_m,356.85963902997497,in
1,2014,21921,ess_m,199.35774920199125,in
1,2016,21921,ess_m,172.77620836923214,in
1,2018,21921,ess_m,80.16615860183974,in
1,2014,30020,ess_m,800.9866484120416,in
1,2016,30020,ess_m,57.483019193675695,in
1,2018,30020,ess_m,16.940604751010618,in
1,2014,30060,ess_m,693.1689785204757,in
1,2016,30060,ess_m,1353.1968016329683,in
1,2018,30060,ess_m,1523.4077601134043,in
1,2014,30420,ess_m,285.74869322198845,in
1,2016,30420,ess_m,264.1878251228261,in
1,2018,30420,ess_m,778.3511988446113,in
1,2014,10110,ess_t,2375.3600162281696,in
1,2016,10110,ess_t,541.4279576765359,in
1,2018,10110,ess_t,1538.6091012437219,in
1,2014,10130,ess_t,962.3166442654906,in
1,2016,10130,ess_t,329.7332237199363,in
1,2018,10130,ess_t,929.3884361952757,in
1,2014,21720,ess_t,1339.3742287139703,in
1,2016,21720,ess_t,1174.442318775772,in
1,2018,21720,ess_t,1525.4282686887077,in
1,2014,21740,ess_t,312.21799211137125,in
1,2016,21740,ess_t,87.24280017398685,in
1,2018,21740,ess_t,315.9244403724343,in
1,2014,21921,ess_t,180.26880086284237,in
1,2016,21921,ess_t,343.5083310620868,in
1,2018,21921,ess_t,78.63614831898784,in
1,2014,30020,ess_t,1021.584881234388,in
1,2016,30020,ess_t,179.7324276868102,in
1,2018,30020,ess_t,216.4546693702418,in
1,2014,30060,ess_t,1096.412301774114,in
1,2016,30060,ess_t,2494.3818363080604,in
1,2018,30060,ess_t,1003.4206827035489,in
1,2014,30420,ess_t,297.3328829776443,in
1,2016,30420,ess_t,204.467291196034,in
1,2018,30420,ess_t,1233.7445768249306,in
2,2014,10110,ess_f,730.2939899080253,in
2,2016,10110,ess_f,541.2660517202072,in
2,2018,10110,ess_f,1562.0221611649526,in
2,2014,10130,ess_f,508.74067175803674,in
2,2016,10130,ess_f,248.38920504692322,in
2,2018,10130,ess_f,839.3908447733165,in
2,2014,21720,ess_f,762.9764292786394,in
2,2016,21720,ess_f,736.2127889843171,in
2,2018,21720,ess_f,474.3041197734008,in
2,2014,21740,ess_f,18.69007968044745,in
2,2016,21740,ess_f,107.90919791616251,in
2,2018,21740,ess_f,948.5598713781565,in
2,2014,21921,ess_f,156.23747827847072,in
2,2016,21921,ess_f,98.52104188054363,in
2,2018,21921,ess_f,79.95466661992712,in
2,2014,30020,ess_f,301.7744494735735,in
2,2016,30020,ess_f,58.44608783032421,in
2,2018,30020,ess_f,24.297286425020374,in
2,2014,30060,ess_f,199.96588910281687,in
2,2016,30060,ess_f,1572.8471165028147,in
2,2018,30060,ess_f,261.5746864973308,in
2,2014,30420,ess_f,691.4118850131505,in
2,2016,30420,ess_f,454.2807706664218,in
2,2018,30420,ess_f,869.1039747314812,in
2,2014,10110,ess_m,680.7011165263086,in
2,2016,10110,ess_m,297.1905740176158,in
2,2018,10110,ess_m,849.3340630076971,in
2,2014,10130,ess_m,670.2527391001079,in
2,2016,10130,ess_m,202.7736819405231,in
2,2018,10130,ess_m,459.1805779316472,in
2,2014,21720,ess_m,1055.8411122461025,in
2,2016,21720,ess_m,1110.2983835496018,in
2,2018,21720,ess_m,511.5344520094537,in
2,2014,21740,ess_m,27.957597337155825,in
2,2016,21740,ess_m,35.835648018702514,in
2,2018,21740,ess_m,545.0918167691183,in
2,2014,21921,ess_m,85.07159640094568,in
2,2016,21921,ess_m,99.6946497573914,in
2,2018,21921,ess_m,88.4414981732129,in
2,2014,30020,ess_m,190.1804940094374,in
2,2016,30020,ess_m,24.297902624439416,in
2,2018,30020,ess_m,13.919176344630449,in
2,2014,30060,ess_m,367.45519986321096,in
2,2016,30060,ess_m,1771.7019980842208,in
2,2018,30060,ess_m,720.6238292874579,in
2,2014,30420,ess_m,204.69306232304976,in
2,2016,30420,ess_m,412.06067493010426,in
2,2018,30420,ess_m,409.9673718583947,in
2,2014,10110,ess_t,1244.8207504907261,in
2,2016,10110,ess_t,362.00843034735,in
2,2018,10110,ess_t,1617.8292956516448,in
2,2014,10130,ess_t,1271.903570530535,in
2,2016,10130,ess_t,296.7442183085091,in
2,2018,10130,ess_t,869.1813301390416,in
2,2014,21720,ess_t,1566.5682307075588,in
2,2016,21720,ess_t,1179.8528957384938,in
2,2018,21720,ess_t,671.5185202225326,in
2,2014,21740,ess_t,23.230116721097918,in
2,2016,21740,ess_t,69.05498820929878,in
2,2018,21740,ess_t,818.6374814057558,in
2,2014,21921,ess_t,130.4952076631126,in
2,2016,21921,ess_t,99.61814982338643,in
2,2018,21921,ess_t,153.71271699384832,in
2,2014,30020,ess_t,514.8536758775454,in
2,2016,30020,ess_t,404.85899990369785,in
2,2018,30020,ess_t,223.48032767103854,in
2,2014,30060,ess_t,228.76913743103032,in
2,2016,30060,ess_t,1080.3177386307536,in
2,2018,30060,ess_t,1582.9795169974889,in
2,2014,30420,ess_t,479.34275671441287,in
2,2016,30420,ess_t,494.2955091009226,in
2,2018,30420,ess_t,558.96975242575,in
3,2014,10110,ess_f,271.0043047265916,in
3,2016,10110,ess_f,529.5948280617251,in
3,2018,10110,ess_f,955.9274003888615,in
3,2014,10130,ess_f,587.0907486306203,in
3,2016,10130,ess_f,728.9982031339584,in
3,2018,10130,ess_f,910.7235776875464,in
3,2014,21720,ess_f,526.096824173321,in
3,2016,21720,ess_f,540.8720048728462,in
3,2018,21720,ess_f,625.2217612214355,in
3,2014,21740,ess_f,275.0888113230503,in
3,2016,21740,ess_f,110.79217481465292,in
3,2018,21740,ess_f,600.9058167389722,in
3,2014,21921,ess_f,117.08461595514406,in
3,2016,21921,ess_f,285.13197763653733,in
3,2018,21921,ess_f,104.19517527068638,in
3,2014,30020,ess_f,86.47492561324437,in
3,2016,30020,ess_f,72.08542740938516,in
3,2018,30020,ess_f,66.06461834494884,in
3,2014,30060,ess_f,74.1061590118219,in
3,2016,30060,ess_f,520.8571055798265,in
3,2018,30060,ess_f,708.107674785574,in
3,2014,30420,ess_f,476.97885751031396,in
3,2016,30420,ess_f,66.13906123346348,in
3,2018,30420,ess_f,189.16083465901693,in
3,2014,10110,ess_m,534.6050943963695,in
3,2016,10110,ess_m,141.457765541052,in
3,2018,10110,ess_m,564.136034509505,in
3,2014,10130,ess_m,476.5420103694458,in
3,2016,10130,ess_m,477.60805828967045,in
3,2018,10130,ess_m,612.1191142211061,in
3,2014,21720,ess_m,821.5985946074077,in
3,2016,21720,ess_m,871.3821935213032,in
3,2018,21720,ess_m,351.150185061262,in
3,2014,21740,ess_m,205.6013507281208,in
3,2016,21740,ess_m,73.76119012404118,in
3,2018,21740,ess_m,476.9258019366625,in
3,2014,21921,ess_m,123.33470654241411,in
3,2016,21921,ess_m,129.71909733877845,in
3,2018,21921,ess_m,79.20388996392396,in
3,2014,30020,ess_m,83.54941492118668,in
3,2016,30020,ess_m,19.078253550807666,in
3,2018,30020,ess_m,25.617426439404365,in
3,2014,30060,ess_m,152.02241431839627,in
3,2016,30060,ess_m,537.2972961384304,in
3,2018,30060,ess_m,4836.376548734365,in
3,2014,30420,ess_m,360.3953595023415,in
3,2016,30420,ess_m,70.79779843005072,in
3,2018,30420,ess_m,441.8620027245858,in
3,2014,10110,ess_t,751.9990643116895,in
3,2016,10110,ess_t,336.2182701785344,in
3,2018,10110,ess_t,1132.2884694320448,in
3,2014,10130,ess_t,1039.8309023208083,in
3,2016,10130,ess_t,1682.6221585837786,in
3,2018,10130,ess_t,1324.223283338996,in
3,2014,21720,ess_t,1031.178269369346,in
3,2016,21720,ess_t,1431.5012728341053,in
3,2018,21720,ess_t,972.1469781751484,in
