sim,year,species_code,ess,value
1,2014,10110,ess_f,84.51088047321706
1,2014,21720,ess_f,421.1730873485796
1,2014,21740,ess_f,5.824837095436653
1,2014,21921,ess_f,525.5895619434764
1,2014,30060,ess_f,522.3488565997487
1,2014,30420,ess_f,165.9770918905743
1,2016,10110,ess_f,270.25687565160774
1,2016,21720,ess_f,119.88982508633418
1,2016,21740,ess_f,1360.5730499308315
1,2016,21921,ess_f,70.72008524398836
1,2016,30060,ess_f,232.81963412570835
1,2016,30420,ess_f,192.38523002717972
1,2018,10110,ess_f,390.0147091615312
1,2018,21720,ess_f,109.4810036859423
1,2018,21740,ess_f,128.01351493892608
1,2018,21921,ess_f,144.13534829841507
1,2018,30060,ess_f,437.22711973883514
1,2018,30420,ess_f,465.1452691587991
1,2014,10110,ess_m,142.88346749669574
1,2014,21720,ess_m,183.42325111427712
1,2014,21740,ess_m,6.125407631889319
1,2014,21921,ess_m,87.84697856224972
1,2014,30060,ess_m,165.90844160470533
1,2014,30420,ess_m,198.1925012881175
1,2016,10110,ess_m,77.06338954590943
1,2016,21720,ess_m,49.31043506093814
1,2016,21740,ess_m,51.18860474813655
1,2016,21921,ess_m,385.9213217492684
1,2016,30060,ess_m,867.4654631981808
1,2016,30420,ess_m,203.640187124178
1,2018,10110,ess_m,161.00573431471966
1,2018,21720,ess_m,326.9692099644913
1,2018,21740,ess_m,126.42249643404946
1,2018,21921,ess_m,37.134647511625936
1,2018,30060,ess_m,277.26206874836134
1,2018,30420,ess_m,114.28073955506635
1,2014,10110,ess_t,129.0155011398021
1,2014,21720,ess_t,482.2163025197905
1,2014,21740,ess_t,6.063954711935971
1,2014,21921,ess_t,204.44026517789337
1,2014,30060,ess_t,383.17511624898225
1,2014,30420,ess_t,416.6317411974396
1,2016,10110,ess_t,253.09427997692757
1,2016,21720,ess_t,111.28537895160545
1,2016,21740,ess_t,103.08015931936846
1,2016,21921,ess_t,227.18706209172987
1,2016,30060,ess_t,776.6455566935889
1,2016,30420,ess_t,360.0362077136628
1,2018,10110,ess_t,491.7288091899872
1,2018,21720,ess_t,350.6075105085784
1,2018,21740,ess_t,298.7564292963791
1,2018,21921,ess_t,81.08036017638439
1,2018,30060,ess_t,796.8974120245643
1,2018,30420,ess_t,255.19685875995935
2,2014,10110,ess_f,139.17357831228028
2,2014,21720,ess_f,527.3086162479516
2,2014,21740,ess_f,4.075264976798635
2,2014,21921,ess_f,76.32685883173261
2,2014,30060,ess_f,479.5229547739251
2,2014,30420,ess_f,132.06914748905814
2,2016,10110,ess_f,322.6225268910966
2,2016,21720,ess_f,183.33924206742387
2,2016,21740,ess_f,122.7738670744786
2,2016,21921,ess_f,13.942158161499192
2,2016,30060,ess_f,693.7399739775606
2,2016,30420,ess_f,217.49521236503688
2,2018,10110,ess_f,323.14821002509643
2,2018,21720,ess_f,206.76165542882597
2,2018,21740,ess_f,43.14383179397389
2,2018,21921,ess_f,40.90459521034665
2,2018,30060,ess_f,241.46089502374966
2,2018,30420,ess_f,246.12796057402943
2,2014,10110,ess_m,76.98272110914296
2,2014,21720,ess_m,249.93886034456187
2,2014,21740,ess_m,4.137744108353952
2,2014,21921,ess_m,76.03136757511575
2,2014,30060,ess_m,220.56860144504893
2,2014,30420,ess_m,89.0588385874222
2,2016,10110,ess_m,371.3256545003802
2,2016,21720,ess_m,96.97641895979375
2,2016,21740,ess_m,95.96064634432865
2,2016,21921,ess_m,61.39246355809163
2,2016,30060,ess_m,368.2655866700083
2,2016,30420,ess_m,115.62894840440723
2,2018,10110,ess_m,433.7170745368696
2,2018,21720,ess_m,611.9852042485431
2,2018,21740,ess_m,62.54980230244237
2,2018,21921,ess_m,51.78759549579205
2,2018,30060,ess_m,439.8896628720045
2,2018,30420,ess_m,114.09422102286257
2,2014,10110,ess_t,163.12480765641283
2,2014,21720,ess_t,490.6610586008309
2,2014,21740,ess_t,4.1671653482543105
2,2014,21921,ess_t,95.1998810941261
2,2014,30060,ess_t,462.27225246037176
2,2014,30420,ess_t,236.55897209537932
2,2016,10110,ess_t,583.1809843011654
2,2016,21720,ess_t,226.7031860210147
2,2016,21740,ess_t,100.91377546667813
2,2016,21921,ess_t,26.174100964894773
2,2016,30060,ess_t,940.5556060134422
2,2016,30420,ess_t,308.408617403203
2,2018,10110,ess_t,513.3586029229014
2,2018,21720,ess_t,427.56540698450635
2,2018,21740,ess_t,77.06696831259842
2,2018,21921,ess_t,60.57509011208749
2,2018,30060,ess_t,916.3921632077149
2,2018,30420,ess_t,437.9332384584076
3,2014,10110,ess_f,56.09766841650621
3,2014,21720,ess_f,108.8197570268167
3,2014,21740,ess_f,17.46047191644221
3,2014,21921,ess_f,252.50848561993917
3,2014,30060,ess_f,493.13452137647846
3,2014,30420,ess_f,213.7398446251097
3,2016,10110,ess_f,278.4589023685476
3,2016,21720,ess_f,168.33635967755657
3,2016,21740,ess_f,130.2714035809024
3,2016,21921,ess_f,20.028998588465328
3,2016,30060,ess_f,256.02298468617175
3,2016,30420,ess_f,329.04289979718993
3,2018,10110,ess_f,648.8778624103206
3,2018,21720,ess_f,847.9231886723579
3,2018,21740,ess_f,166.83772181520257
3,2018,21921,ess_f,36.195768604366464
3,2018,30060,ess_f,257.9168807481525
3,2018,30420,ess_f,195.5641100890615
3,2014,10110,ess_m,43.87596856151019
3,2014,21720,ess_m,146.4153271908118
3,2014,21740,ess_m,22.199058225103315
3,2014,21921,ess_m,44.25882926269947
3,2014,30060,ess_m,154.26475127061187
3,2014,30420,ess_m,250.07065585373618
3,2016,10110,ess_m,126.06257805439323
3,2016,21720,ess_m,385.98438684953163
3,2016,21740,ess_m,65.2129746376495
3,2016,21921,ess_m,41.05685471603103
3,2016,30060,ess_m,434.7204780816057
3,2016,30420,ess_m,69.03217577032004
3,2018,10110,ess_m,196.12143723235485
3,2018,21720,ess_m,1232.8212236554668
3,2018,21740,ess_m,44.549550352905094
3,2018,21921,ess_m,82.53265685030843
3,2018,30060,ess_m,295.92162310416626
3,2018,30420,ess_m,106.14113583470741
3,2014,10110,ess_t,100.53221419582877
3,2014,21720,ess_t,143.60067471668512
3,2014,21740,ess_t,20.10033119460021
3,2014,21921,ess_t,134.713814117565
3,2014,30060,ess_t,468.2461542249869
3,2014,30420,ess_t,356.9570153821018
3,2016,10110,ess_t,265.8903236447954
3,2016,21720,ess_t,410.49525356795004
3,2016,21740,ess_t,118.48169540416964
3,2016,21921,ess_t,30.006451238930772
3,2016,30060,ess_t,808.6463061690903
3,2016,30420,ess_t,273.7575493489214
3,2018,10110,ess_t,709.9784716285736
3,2018,21720,ess_t,1306.7619690152042
3,2018,21740,ess_t,269.5205852114373
3,2018,21921,ess_t,52.418750554816334
3,2018,30060,ess_t,470.7071132501195
3,2018,30420,ess_t,351.2101184268951
4,2014,10110,ess_f,122.47924605052425
4,2014,21720,ess_f,183.33111652687253
4,2014,21740,ess_f,22.791109492408076
4,2014,21921,ess_f,66.22086422796046
4,2014,30060,ess_f,207.23567563672435
4,2014,30420,ess_f,193.64792527713198
4,2016,10110,ess_f,172.1748666837407
4,2016,21720,ess_f,130.0949888837855
4,2016,21740,ess_f,68.03145533165794
4,2016,21921,ess_f,50.24325491885564
4,2016,30060,ess_f,444.67029712129715
4,2016,30420,ess_f,286.27343060627385
4,2018,10110,ess_f,364.8267565529565
4,2018,21720,ess_f,89.30735114624372
