year,species_code,species,id,mu_hl,tot_hl
2016,21720,Pacific cod,s175,17.428571428571427,122
2016,30060,Pacific ocean perch,s175,33.06976744186046,2844
2016,21740,walleye pollock,s175,42.5,340
2016,21921,Atka mackerel,s175,20.75,83
2016,10130,flathead sole,s175,16,16
2018,10110,arrowtooth flounder,s175,31,155
2018,21740,walleye pollock,s175,36.85,737
2018,30060,Pacific ocean perch,s175,29.672131147540984,1810
2018,21921,Atka mackerel,s175,15.833333333333334,95
2018,30420,northern rockfish,s175,30.741935483870968,953
2018,10130,flathead sole,s175,31.75,127
