sim,year,species_code,ess,value,in_out
1,2014,10110,ess_f,449.27168102352283,in
1,2016,10110,ess_f,345.30359405266285,in
1,2018,10110,ess_f,956.1410278700665,in
1,2014,10130,ess_f,523.1611641211025,in
1,2016,10130,ess_f,377.76531000162623,in
1,2018,10130,ess_f,314.60401380094544,in
1,2014,21720,ess_f,610.0653837577848,in
1,2016,21720,ess_f,636.8801208498712,in
1,2018,21720,ess_f,413.7480874116954,in
1,2014,21740,ess_f,215.04975506991286,in
1,2016,21740,ess_f,21.475047717497834,in
1,2018,21740,ess_f,243.29448170622055,in
1,2014,21921,ess_f,160.2039006532678,in
1,2016,21921,ess_f,38.54562009578031,in
1,2018,21921,ess_f,204.7523354782187,in
1,2014,30020,ess_f,727.9257137348933,in
1,2016,30020,ess_f,59.28959399745419,in
1,2018,30020,ess_f,64.37074572620767,in
1,2014,30060,ess_f,207.45471787661543,in
1,2016,30060,ess_f,425.85655727643905,in
1,2018,30060,ess_f,307.19573124995355,in
1,2014,30420,ess_f,170.78909232170298,in
1,2016,30420,ess_f,254.61229505694206,in
1,2018,30420,ess_f,412.98826451550593,in
1,2014,10110,ess_m,364.7694990773808,in
1,2016,10110,ess_m,510.16174210930114,in
1,2018,10110,ess_m,344.22689025030536,in
1,2014,10130,ess_m,312.1602280269472,in
1,2016,10130,ess_m,173.58195708395084,in
1,2018,10130,ess_m,512.1375573333142,in
1,2014,21720,ess_m,601.5387631640324,in
1,2016,21720,ess_m,551.5732993417365,in
1,2018,21720,ess_m,646.0592381124673,in
1,2014,21740,ess_m,232.97408523736073,in
1,2016,21740,ess_m,21.725180812151176,in
1,2018,21740,ess_m,264.72974835097926,in
1,2014,21921,ess_m,319.0027958575815,in
1,2016,21921,ess_m,49.441998379305105,in
1,2018,21921,ess_m,125.44120631394591,in
1,2014,30020,ess_m,386.79082952535964,in
1,2016,30020,ess_m,36.24705437264291,in
1,2018,30020,ess_m,51.11687127834249,in
1,2014,30060,ess_m,372.1088119892591,in
1,2016,30060,ess_m,634.2029238167977,in
1,2018,30060,ess_m,647.5992592566523,in
1,2014,30420,ess_m,53.149213668829915,in
1,2016,30420,ess_m,424.94889754408615,in
1,2018,30420,ess_m,357.6687610686935,in
1,2014,10110,ess_t,547.6859368102346,in
1,2016,10110,ess_t,836.4578054665737,in
1,2018,10110,ess_t,871.2240133016826,in
1,2014,10130,ess_t,938.9689259801113,in
1,2016,10130,ess_t,272.00573902504044,in
1,2018,10130,ess_t,1534.9246477434504,in
1,2014,21720,ess_t,931.1402573267807,in
1,2016,21720,ess_t,1612.7206367118886,in
1,2018,21720,ess_t,1024.4824482216836,in
1,2014,21740,ess_t,284.74089276782064,in
1,2016,21740,ess_t,43.24891999292127,in
1,2018,21740,ess_t,488.70809463000376,in
1,2014,21921,ess_t,306.19191672218204,in
1,2016,21921,ess_t,44.45817258793531,in
1,2018,21921,ess_t,1597.9596392785795,in
1,2014,30020,ess_t,672.1523565833674,in
1,2016,30020,ess_t,142.4166015246141,in
1,2018,30020,ess_t,708.8780974518603,in
1,2014,30060,ess_t,366.80950376831316,in
1,2016,30060,ess_t,1520.3925629420805,in
1,2018,30060,ess_t,2157.7628441539837,in
1,2014,30420,ess_t,277.54222424044553,in
1,2016,30420,ess_t,613.298844925049,in
1,2018,30420,ess_t,653.5298732402887,in
2,2014,10110,ess_f,711.5788675624937,in
2,2016,10110,ess_f,459.8816863512316,in
2,2018,10110,ess_f,1401.911171926026,in
2,2014,10130,ess_f,472.98398735402947,in
2,2016,10130,ess_f,328.71254487277594,in
2,2018,10130,ess_f,228.60737156195563,in
2,2014,21720,ess_f,560.2951257387592,in
2,2016,21720,ess_f,305.19073505304044,in
2,2018,21720,ess_f,668.6181402087442,in
2,2014,21740,ess_f,101.36734941293939,in
2,2016,21740,ess_f,185.0102302530082,in
2,2018,21740,ess_f,581.8830942195812,in
2,2014,21921,ess_f,100.62510664283802,in
2,2016,21921,ess_f,61.53861570915484,in
2,2018,21921,ess_f,104.6538937215252,in
2,2014,30020,ess_f,194.49549381629308,in
