"species_code","year","species","id","mu_hl","tot_hl"
21740,2017,"walleye pollock","s175",37.5675675675676,2780
21720,2017,"Pacific cod","s175",45,135
10110,2017,"arrowtooth flounder","s175",68,340
10261,2017,"northern rock sole","s175",46.9333333333333,704
10130,2017,"flathead sole","s175",33.8181818181818,372
21740,2018,"walleye pollock","s175",44.9294117647059,3819
10110,2018,"arrowtooth flounder","s175",60.8888888888889,548
10210,2018,"yellowfin sole","s175",42.1212121212121,1390
10210,2017,"yellowfin sole","s175",40.5384615384615,1054
10261,2018,"northern rock sole","s175",42.9090909090909,944
10285,2018,"Alaska plaice","s175",48.25,193
10130,2018,"flathead sole","s175",56.7647058823529,965
21720,2018,"Pacific cod","s175",32.75,131
10285,2017,"Alaska plaice","s175",19.5,39
10110,2019,"arrowtooth flounder","s175",24.5,196
21740,2019,"walleye pollock","s175",34.1166666666667,2047
10130,2019,"flathead sole","s175",28.875,231
21720,2019,"Pacific cod","s175",32,96
