year,region,species_code,species,id,mu_hl,tot_hl
2014,ai,30060,Pacific ocean perch,s175,30.04081633,1472
2014,ai,10110,arrowtooth flounder,s175,20.75,83
2014,ai,21921,Atka mackerel,s175,29.88888889,269
2014,ai,10130,flathead sole,s175,36,72
2014,ai,30420,northern rockfish,s175,31.47058824,535
2016,ai,30420,northern rockfish,s175,27.91666667,670
2016,ai,10110,arrowtooth flounder,s175,47,329
2016,ai,21720,Pacific cod,s175,17.42857143,122
2016,ai,30060,Pacific ocean perch,s175,33.06976744,2844
2016,ai,21740,walleye pollock,s175,42.5,340
2016,ai,21921,Atka mackerel,s175,20.75,83
2016,ai,10130,flathead sole,s175,16,16
2018,ai,10110,arrowtooth flounder,s175,31,155
2018,ai,21740,walleye pollock,s175,36.85,737
2018,ai,30060,Pacific ocean perch,s175,29.67213115,1810
2018,ai,21921,Atka mackerel,s175,15.83333333,95
2018,ai,30420,northern rockfish,s175,30.74193548,953
2018,ai,10130,flathead sole,s175,31.75,127
2021,goa,10200,rex sole,s50,41.75423729,4927
2021,goa,21740,walleye pollock,s50,88.2826087,12183
2021,goa,30060,Pacific ocean perch,s50,97.05517241,14073
2021,goa,10130,flathead sole,s50,59.90909091,6590
2021,goa,10110,arrowtooth flounder,s50,67.64028777,18804
2021,goa,20510,sablefish,s50,44.36923077,2884
2021,goa,10262,southern rock sole,s50,42.51388889,3061
2021,goa,10261,northern rock sole,s50,48.15,963
2021,goa,21720,Pacific cod,s50,28.0625,449
2021,goa,30420,northern rockfish,s50,87.46153846,1137
2021,goa,21921,Atka mackerel,s50,96,96
2021,goa,30020,shortspine thornyhead,s50,37,37
2019,goa,10110,arrowtooth flounder,s50,72.15034965,20635
2019,goa,10200,rex sole,s50,38.56842105,3664
2019,goa,20510,sablefish,s50,54.68085106,2570
2019,goa,30060,Pacific ocean perch,s50,96.08333333,16142
2019,goa,21740,walleye pollock,s50,97.325,7786
2019,goa,10262,southern rock sole,s50,37.56862745,1916
2019,goa,10130,flathead sole,s50,53.20952381,5587
2019,goa,10261,northern rock sole,s50,50.80952381,1067
2019,goa,21720,Pacific cod,s50,46.75,561
2019,goa,30420,northern rockfish,s50,63.73333333,956
2019,goa,30020,shortspine thornyhead,s50,64.5,258
2017,goa,20510,sablefish,s50,58.3125,933
2017,goa,10110,arrowtooth flounder,s50,72.26984127,18212
2017,goa,10130,flathead sole,s50,57.73387097,7159
2017,goa,10262,southern rock sole,s50,27,1431
2017,goa,21740,walleye pollock,s50,80.01587302,5041
2017,goa,10200,rex sole,s50,35.58108108,2633
2017,goa,10261,northern rock sole,s50,47.94117647,1630
2017,goa,30420,northern rockfish,s50,75.70588235,1287
2017,goa,30060,Pacific ocean perch,s50,92.34090909,12189
2017,goa,21720,Pacific cod,s50,19.625,157
2017,goa,30020,shortspine thornyhead,s50,37,37
2017,goa,21921,Atka mackerel,s50,81.75,327
2021,goa,10200,rex sole,s75,34.77027027,2573
2021,goa,21740,walleye pollock,s75,83.9537037,9067
2021,goa,30060,Pacific ocean perch,s75,77.625,10557
2021,goa,10130,flathead sole,s75,49.97590361,4148
2021,goa,10110,arrowtooth flounder,s75,54.34210526,12390
2021,goa,20510,sablefish,s75,48.45714286,1696
2021,goa,10262,southern rock sole,s75,39.63414634,1625
2021,goa,21720,Pacific cod,s75,22.5,180
2021,goa,10261,northern rock sole,s75,48.16666667,578
2021,goa,30420,northern rockfish,s75,75.36363636,829
2021,goa,21921,Atka mackerel,s75,71,71
2021,goa,30020,shortspine thornyhead,s75,12,12
2019,goa,10110,arrowtooth flounder,s75,63.44642857,14212
2019,goa,10200,rex sole,s75,30.98275862,1797
2019,goa,30060,Pacific ocean perch,s75,80.54966887,12163
2019,goa,21740,walleye pollock,s75,90.81818182,5994
2019,goa,10262,southern rock sole,s75,31.85714286,892
2019,goa,10130,flathead sole,s75,45.44594595,3363
2019,goa,10261,northern rock sole,s75,31.16666667,561
2019,goa,20510,sablefish,s75,52.21875,1671
2019,goa,21720,Pacific cod,s75,56.16666667,337
2019,goa,30020,shortspine thornyhead,s75,59.66666667,179
2019,goa,30420,northern rockfish,s75,52.83333333,634
2017,goa,10110,arrowtooth flounder,s75,62.765,12553
2017,goa,10130,flathead sole,s75,48.38043478,4451
2017,goa,10262,southern rock sole,s75,19.56,489
2017,goa,21740,walleye pollock,s75,86.62790698,3725
2017,goa,10200,rex sole,s75,31.69230769,1236
2017,goa,10261,northern rock sole,s75,45.9,918
2017,goa,30420,northern rockfish,s75,55.375,886
2017,goa,30060,Pacific ocean perch,s75,74.18032787,9050
2017,goa,20510,sablefish,s75,55.09090909,606
2017,goa,21720,Pacific cod,s75,8,32
2017,goa,30020,shortspine thornyhead,s75,12,12
2017,goa,21921,Atka mackerel,s75,56.75,227
2021,goa,10200,rex sole,s100,30.81081081,1140
2021,goa,30060,Pacific ocean perch,s100,58.86290323,7299
2021,goa,10130,flathead sole,s100,42.42105263,2418
2021,goa,21740,walleye pollock,s100,84.5875,6767
2021,goa,10110,arrowtooth flounder,s100,46.34567901,7508
2021,goa,20510,sablefish,s100,39.33333333,944
2021,goa,10262,southern rock sole,s100,28.25925926,763
2021,goa,21720,Pacific cod,s100,16.5,66
2021,goa,30420,northern rockfish,s100,55.5,555
2021,goa,10261,northern rock sole,s100,41.125,329
2021,goa,21921,Atka mackerel,s100,46,46
2019,goa,10110,arrowtooth flounder,s100,54.86904762,9218
2019,goa,30060,Pacific ocean perch,s100,63.34814815,8552
2019,goa,21740,walleye pollock,s100,74.93220339,4421
2019,goa,10130,flathead sole,s100,32.01818182,1761
2019,goa,10200,rex sole,s100,26.89285714,753
2019,goa,10262,southern rock sole,s100,26.57142857,372
2019,goa,20510,sablefish,s100,43.30434783,996
2019,goa,21720,Pacific cod,s100,53.25,213
2019,goa,10261,northern rock sole,s100,24.11111111,217
2019,goa,30020,shortspine thornyhead,s100,59.5,119
2019,goa,30420,northern rockfish,s100,40.11111111,361
2017,goa,10110,arrowtooth flounder,s100,56.11564626,8249
2017,goa,10130,flathead sole,s100,36.6119403,2453
2017,goa,10262,southern rock sole,s100,14.375,115
2017,goa,21740,walleye pollock,s100,82.05882353,2790
2017,goa,10261,northern rock sole,s100,39.30769231,511
2017,goa,30420,northern rockfish,s100,40.23076923,523
2017,goa,10200,rex sole,s100,24.42105263,464
2017,goa,30060,Pacific ocean perch,s100,57.10185185,6167
2017,goa,20510,sablefish,s100,56.85714286,398
2017,goa,21921,Atka mackerel,s100,31.75,127
2021,goa,10200,rex sole,s125,30.23529412,514
2021,goa,30060,Pacific ocean perch,s125,43.16666667,4403
2021,goa,10130,flathead sole,s125,37,1258
2021,goa,20510,sablefish,s125,29.13333333,437
2021,goa,21740,walleye pollock,s125,81.39344262,4965
2021,goa,10262,southern rock sole,s125,17.42857143,244
2021,goa,10110,arrowtooth flounder,s125,40.65686275,4147
2021,goa,21720,Pacific cod,s125,37,37
2021,goa,30420,northern rockfish,s125,40.25,322
2021,goa,10261,northern rock sole,s125,39.5,158
2021,goa,21921,Atka mackerel,s125,21,21
2019,goa,10110,arrowtooth flounder,s125,48.03418803,5620
2019,goa,21740,walleye pollock,s125,87.24324324,3228
2019,goa,30060,Pacific ocean perch,s125,44.75,5370
2019,goa,10130,flathead sole,s125,23.9,717
2019,goa,10200,rex sole,s125,31.2,312
2019,goa,21720,Pacific cod,s125,42.33333333,127
2019,goa,20510,sablefish,s125,41.38461538,538
2019,goa,10261,northern rock sole,s125,16.66666667,50
2019,goa,30020,shortspine thornyhead,s125,73,73
2019,goa,30420,northern rockfish,s125,29.16666667,175
2019,goa,10262,southern rock sole,s125,33.6,168
2017,goa,10110,arrowtooth flounder,s125,53.31632653,5225
2017,goa,21740,walleye pollock,s125,97.09090909,2136
2017,goa,10130,flathead sole,s125,34.38235294,1169
2017,goa,30420,northern rockfish,s125,20.63636364,227
2017,goa,10261,northern rock sole,s125,45,270
2017,goa,30060,Pacific ocean perch,s125,40.72222222,3665
2017,goa,10200,rex sole,s125,15.88888889,143
2017,goa,20510,sablefish,s125,46.2,231
2017,goa,10262,southern rock sole,s125,15,30
2017,goa,21921,Atka mackerel,s125,29,58
2021,goa,30060,Pacific ocean perch,s150,28.36842105,2156
2021,goa,10200,rex sole,s150,27.875,223
2021,goa,20510,sablefish,s150,29.5,177
2021,goa,21740,walleye pollock,s150,82.04545455,3610
2021,goa,21720,Pacific cod,s150,12,12
2021,goa,10110,arrowtooth flounder,s150,36.9137931,2141
2021,goa,10262,southern rock sole,s150,15,45
2021,goa,10130,flathead sole,s150,34.83333333,627
2021,goa,30420,northern rockfish,s150,23.66666667,142
2021,goa,10261,northern rock sole,s150,45.5,91
2019,goa,21740,walleye pollock,s150,90.25925926,2437
2019,goa,30060,Pacific ocean perch,s150,32.67857143,2745
2019,goa,10130,flathead sole,s150,35.625,285
2019,goa,10200,rex sole,s150,22.2,111
2019,goa,10110,arrowtooth flounder,s150,53.87096774,3340
2019,goa,21720,Pacific cod,s150,33,66
2019,goa,30020,shortspine thornyhead,s150,48,48
2019,goa,20510,sablefish,s150,26.3,263
2019,goa,30420,northern rockfish,s150,13.5,54
2019,goa,10262,southern rock sole,s150,34.5,69
2017,goa,10110,arrowtooth flounder,s150,50.0625,3204
2017,goa,21740,walleye pollock,s150,102.9375,1647
2017,goa,10130,flathead sole,s150,31.375,502
2017,goa,10261,northern rock sole,s150,39.75,159
2017,goa,30060,Pacific ocean perch,s150,30.59322034,1805
2017,goa,20510,sablefish,s150,27,108
2017,goa,30420,northern rockfish,s150,14,42
2017,goa,10262,southern rock sole,s150,4,4
2017,goa,21921,Atka mackerel,s150,20,20
2017,goa,10200,rex sole,s150,16,16
2021,goa,30060,Pacific ocean perch,s175,23.51428571,823
2021,goa,20510,sablefish,s175,14.75,59
2021,goa,21740,walleye pollock,s175,69.72972973,2580
2021,goa,10110,arrowtooth flounder,s175,35.3,1059
2021,goa,10130,flathead sole,s175,28.9,289
2021,goa,10200,rex sole,s175,17,51
2021,goa,30420,northern rockfish,s175,17,34
2021,goa,10262,southern rock sole,s175,8,8
2021,goa,10261,northern rock sole,s175,54,54
2019,goa,21740,walleye pollock,s175,78.17391304,1798
2019,goa,10130,flathead sole,s175,35,140
2019,goa,30060,Pacific ocean perch,s175,25.22727273,1110
2019,goa,10110,arrowtooth flounder,s175,52.23076923,2037
2019,goa,30020,shortspine thornyhead,s175,23,23
2019,goa,10200,rex sole,s175,13.5,27
2019,goa,10262,southern rock sole,s175,9.5,19
2019,goa,20510,sablefish,s175,19.75,79
2019,goa,21720,Pacific cod,s175,19,19
2017,goa,10110,arrowtooth flounder,s175,47.15,1886
2017,goa,21740,walleye pollock,s175,91.28571429,1278
2017,goa,10130,flathead sole,s175,25.44444444,229
2017,goa,10261,northern rock sole,s175,25,75
2017,goa,30060,Pacific ocean perch,s175,24.4,732
2017,goa,20510,sablefish,s175,15,30
2017,goa,30420,northern rockfish,s175,6,6
2019,ebs,10210,yellowfin sole,s50,69.14285714,14036
2019,ebs,10261,northern rock sole,s50,60.49142857,10586
2019,ebs,21740,walleye pollock,s50,93.87356322,24501
2019,ebs,21720,Pacific cod,s50,46.21311475,2819
2019,ebs,10285,Alaska plaice,s50,35.36507937,2228
2019,ebs,10130,flathead sole,s50,51.20245399,8346
2018,ebs,10261,northern rock sole,s50,64.52380952,12195
2018,ebs,21720,Pacific cod,s50,43.36065574,2645
2018,ebs,10210,yellowfin sole,s50,72.49593496,17834
2018,ebs,21740,walleye pollock,s50,93.2754491,31154
