sim,year,species_code,ess,value
1,2017,10110,ess_f,683.578873669936
1,2017,10112,ess_f,55.47987329237799
1,2017,10115,ess_f,113.97378407595761
1,2017,10130,ess_f,354.14059234973195
1,2017,10210,ess_f,1346.425893822232
1,2017,10261,ess_f,184.8172824101632
1,2017,10285,ess_f,185.93999701014536
1,2017,21720,ess_f,636.8287870651923
1,2017,21740,ess_f,208.7138837425221
1,2018,10110,ess_f,270.21471218316645
1,2018,10112,ess_f,73.16123532914831
1,2018,10115,ess_f,99.04086172401205
1,2018,10130,ess_f,245.1487823116665
1,2018,10210,ess_f,200.46161085532404
1,2018,10261,ess_f,500.71779071435424
1,2018,10285,ess_f,262.45031668798134
1,2018,21720,ess_f,396.1247194847648
1,2018,21740,ess_f,102.44792594942432
1,2019,10110,ess_f,244.11311579208424
1,2019,10112,ess_f,161.32048880718827
1,2019,10115,ess_f,9.51814582916779
1,2019,10130,ess_f,198.07430303082805
1,2019,10210,ess_f,557.7511367539336
1,2019,10261,ess_f,57.69278433617528
1,2019,10285,ess_f,489.4551541294525
1,2019,21720,ess_f,16.194570113562925
1,2019,21740,ess_f,330.4585118700021
1,2021,10130,ess_f,227.715277379449
1,2021,10210,ess_f,165.78715015390856
1,2021,10261,ess_f,274.75112748972776
1,2021,21740,ess_f,352.02028452324413
1,2017,10110,ess_m,99.81390779114982
1,2017,10112,ess_m,131.83654716554335
1,2017,10115,ess_m,53.271725467360625
1,2017,10130,ess_m,152.3582693732543
1,2017,10210,ess_m,718.2141392997419
1,2017,10261,ess_m,177.04608989299055
1,2017,10285,ess_m,147.0345076918602
1,2017,21720,ess_m,1000.5421652771056
1,2017,21740,ess_m,206.86213341891025
1,2018,10110,ess_m,386.7167278522146
1,2018,10112,ess_m,92.13685358873995
1,2018,10115,ess_m,75.76197764317027
1,2018,10130,ess_m,223.95754700307003
1,2018,10210,ess_m,117.76681020815283
1,2018,10261,ess_m,169.46642462630626
1,2018,10285,ess_m,185.51485931171698
1,2018,21720,ess_m,257.34529218510795
1,2018,21740,ess_m,116.52221929780474
1,2019,10110,ess_m,454.4679432871541
1,2019,10112,ess_m,191.90920140751996
1,2019,10115,ess_m,13.166472249455072
1,2019,10130,ess_m,342.04304257823964
1,2019,10210,ess_m,227.3783640674291
1,2019,10261,ess_m,1133.0641080931857
1,2019,10285,ess_m,561.6926037592146
1,2019,21720,ess_m,12.987742735753098
1,2019,21740,ess_m,290.3979446528813
1,2021,10130,ess_m,177.23824156652833
1,2021,10210,ess_m,66.67621959414467
1,2021,10261,ess_m,524.955172650292
1,2021,21740,ess_m,232.97032884133586
1,2017,10110,ess_t,477.7410315869747
1,2017,10112,ess_t,104.65059000218574
1,2017,10115,ess_t,291.718017675477
1,2017,10130,ess_t,643.2694563495344
1,2017,10210,ess_t,2475.6897735065204
1,2017,10261,ess_t,165.83724413880432
1,2017,10285,ess_t,371.09942369383094
1,2017,21720,ess_t,4170.212521247106
1,2017,21740,ess_t,883.554903782806
1,2018,10110,ess_t,314.4607857639033
1,2018,10112,ess_t,133.36570169578332
1,2018,10115,ess_t,184.5642759997749
1,2018,10130,ess_t,652.2850731135999
1,2018,10210,ess_t,280.60040320177
1,2018,10261,ess_t,381.32768688152595
1,2018,10285,ess_t,545.7211832682864
1,2018,21720,ess_t,329.4496516712485
1,2018,21740,ess_t,104.70186680485867
1,2019,10110,ess_t,448.7005039541259
1,2019,10112,ess_t,386.9622024026815
1,2019,10115,ess_t,13.684497741208034
1,2019,10130,ess_t,902.2840704761056
1,2019,10210,ess_t,543.5882531761142
1,2019,10261,ess_t,117.63562528473828
1,2019,10285,ess_t,800.1575221856428
1,2019,21720,ess_t,577.4380006773625
1,2019,21740,ess_t,494.66553215887325
1,2021,10130,ess_t,435.7745589855286
1,2021,10210,ess_t,176.69833789063148
1,2021,10261,ess_t,977.1817283100331
1,2021,21740,ess_t,844.0977636297031
2,2017,10110,ess_f,277.95422466344695
2,2017,10112,ess_f,45.87197761620314
2,2017,10115,ess_f,237.19388050798602
2,2017,10130,ess_f,627.5528000791458
2,2017,10210,ess_f,335.35940198568653
2,2017,10261,ess_f,276.54266958249934
2,2017,10285,ess_f,231.64418451784417
2,2017,21720,ess_f,533.8713244917158
2,2017,21740,ess_f,243.58818385056495
2,2018,10110,ess_f,187.85594624435322
2,2018,10112,ess_f,442.7553877891204
2,2018,10115,ess_f,32.14139030663028
2,2018,10130,ess_f,316.2540267120603
2,2018,10210,ess_f,410.49076137622654
2,2018,10261,ess_f,605.059670736241
2,2018,10285,ess_f,120.11821341352756
2,2018,21720,ess_f,506.64653018713216
2,2018,21740,ess_f,80.01782642733103
2,2019,10110,ess_f,460.0765230996687
2,2019,10112,ess_f,238.70885025646515
2,2019,10115,ess_f,23.96530158523142
2,2019,10130,ess_f,130.92504469396238
2,2019,10210,ess_f,165.07407188109983
2,2019,10261,ess_f,116.27508576046179
2,2019,10285,ess_f,180.16854200535013
2,2019,21720,ess_f,19.92381448713964
2,2019,21740,ess_f,185.95865126479075
2,2021,10130,ess_f,140.81808302718738
2,2021,10210,ess_f,312.6032941250847
2,2021,10261,ess_f,378.1030366135744
2,2021,21740,ess_f,311.52429607302963
2,2017,10110,ess_m,24.622098485598983
2,2017,10112,ess_m,142.64136065936128
2,2017,10115,ess_m,130.82794897711403
2,2017,10130,ess_m,598.3850377516875
2,2017,10210,ess_m,830.141982922717
2,2017,10261,ess_m,491.522968879079
2,2017,10285,ess_m,88.77876363484424
2,2017,21720,ess_m,285.1244487704753
