year,species_code,age,males,females,unsexed
2017,10130,20,3885232.5654545454,12449434.450274725,5704.461538461539
2017,10130,21,8534513.406363636,2070313.875,21054.344827586207
2017,10130,22,1251305.52,1907857,0
2017,10130,23,3218909,0,4634.90625
2017,10130,24,4487037.2727272725,1131165.5384615385,0
2017,10130,25,0,2631321.2884615385,0
2017,10130,26,1485008.5,0,0
2017,10130,27,1698812.947368421,0,0
2017,10130,29,3976583.5,930538.75,0
2017,10130,30,2847731.4928229665,0,2852.2307692307695
2017,10210,1,0,183583,0
2017,10210,2,9358196.611111112,24862376.433333334,0
2017,10210,3,103269706.01730768,88927980.08559218,0
2017,10210,4,178654045.21521738,242641344.6071484,0
2017,10210,5,308441076.54690444,336003335.7822419,0
2017,10210,6,177683266.12933853,200221823.4368293,0
2017,10210,7,258055037.7736218,351809910.0706597,0
2017,10210,8,931321019.041258,998100790.3049728,0
2017,10210,9,609031785.8260523,526229353.28402084,0
2017,10210,10,278978642.66605407,363608969.8156544,0
2017,10210,11,258596069.95006096,374533485.9052223,0
2017,10210,12,145990812.75697163,185848816.14478022,0
2017,10210,13,84476431.50169773,183081292.32827774,0
2017,10210,14,187236659.80119297,188096700.2001339,0
2017,10210,15,132656678.63328852,191405191.74786282,0
2017,10210,16,106374990.77855608,156221629.34082985,0
2017,10210,17,9850842.158021126,92648821.29716685,0
2017,10210,18,56860536.92376847,150109543.31452948,0
2017,10210,19,42830370.024904214,66317683.02917582,0
2017,10210,20,33031489.527801752,74882029.7664772,0
2017,10210,21,55715086.9301073,108108486.2002564,0
2017,10210,22,76733406.05239338,48563322.92942592,0
2017,10210,23,43916423.717432044,53465368.2475641,0
2017,10210,24,14002333.39464883,21052089.371794872,0
2017,10210,25,6791840.511396011,36655714.791470885,0
2017,10210,26,4924639.440103374,42299393.67714285,0
2017,10210,27,16861602.149940763,30340481.41203297,0
2017,10210,28,11925916.73696485,6116246.416666666,0
2017,10210,29,5161014.259259259,8100325.143040292,0
2017,10210,30,20952776.807692308,29533350.667307694,0
2017,10210,31,1933377.8076923077,3885149.808333333,0
2017,10210,32,22443579.71373715,10647286.74857143,0
2017,10210,33,19353342.566951565,7253525.973168498,0
2017,10210,34,7680915.622507122,8316264.520512821,0
2017,10210,35,0,1300116.4285714284,0
2017,10210,37,4150727.6153846155,256047.76923076925,0
2017,10210,38,4574490.703703703,0,0
2017,10210,40,1350621.0434782607,0,0
2017,10210,43,1350621.0434782607,0,0
2017,10261,1,10779690.5,0,15093448.583333332
2017,10261,2,357309545.36190474,247336252.91666666,39195734.127039626
2017,10261,3,716278373.9952381,553607424.8261905,31941720.289627038
2017,10261,4,75038030.46626984,114431520.30714285,0
2017,10261,5,207832489.3670635,134159107.31507936,0
2017,10261,6,116013285.06666666,112525408.22539683,0
2017,10261,7,20916091.14285714,69323891.3984127,0
2017,10261,8,0,54182084.2,0
2017,10261,9,95901635.75555556,16135523.333333332,0
2017,10261,10,23291007.3,12824774.555555556,0
2017,10261,11,44498062.86666667,93696428.5009324,0
2017,10261,12,164785230.35555553,346232196.6867133,0
2017,10261,13,178274853.7222222,240503156.04539627,0
2017,10261,14,88837037.08484848,146784957.8378788,0
2017,10261,15,175415583.2808081,229830066.0318376,0
2017,10261,16,112958722.73939393,122530031.0769425,0
2017,10261,17,32004989.19191919,37371553.63376068,0
2017,10261,18,4585019.666666666,8471657.986111112,0
2017,10261,19,0,101428,0
2017,10261,20,3143286.333333333,0,0
2017,10261,21,9611227.333333334,0,0
2017,10261,22,3294459.1666666665,12469471.336538462,0
2017,10261,23,0,2659747.6,0
2017,10261,24,3225122.8181818184,927320.5,0
2017,10261,25,3225122.8181818184,977699.6000000001,0
2017,10261,26,3294459.1666666665,3488379.475,0
2017,10261,27,0,927320.5,0
2017,10261,28,0,927320.5,0
2017,10261,29,0,6888298.611111111,0
2017,10261,31,1290560.5,0,0
2017,10285,1,0,0,193396
2017,10285,2,654548,847177.6666666666,8506.5
2017,10285,3,2334976.4285714286,918794.8888888889,25519.5
2017,10285,4,1467538.1714285715,2212051.369108669,0
2017,10285,5,6145516.5514069265,8374376.626860558,0
2017,10285,6,6482454.711652236,13427447.436779724,0
2017,10285,7,18876751.936674517,12477826.94691631,0
2017,10285,8,44822897.643722944,45986442.3414512,0
2017,10285,9,20028982.974183004,11665985.849164724,0
2017,10285,10,27525295.085375816,26185579.16158169,0
2017,10285,11,6080186.86737013,17978076.15064117,0
2017,10285,12,25646589.054508317,18304833.65162907,0
2017,10285,13,16147625.14640523,17651420.587648608,0
2017,10285,14,6169857.301587301,13889657.684400395,0
2017,10285,15,25078382.450341653,18527604.395655807,0
2017,10285,16,21800700.274183005,25631611.22599206,0
2017,10285,17,15416742.22009804,9156092.528862877,0
2017,10285,18,11375853.70231729,10901630.022670312,0
2017,10285,19,7439347.663025211,11973082.935098162,0
2017,10285,20,10735600.282913165,5841150.9206652995,0
2017,10285,21,3571711.973529412,1467748.1569444444,0
2017,10285,22,4399831.175,6060489.6524018375,0
2017,10285,23,9413079.104590017,3696274.589285714,0
2017,10285,24,6155476.479201681,4933685.980134997,0
2017,10285,25,13054880.94362745,7945790.4365592,0
2017,10285,26,11514943.788071895,5946965.611808878,0
2017,10285,27,3260354.448529412,3958119.164692033,0
2017,10285,28,726206.1000000001,7510276.835098161,0
2017,10285,29,3394747.8777777776,957755.5707070706,0
2017,10285,30,4784109.25,43272,0
2017,10285,31,3015251.411764706,0,0
2017,10285,32,2422625.125,685056.919642857,0
2017,10285,33,0,1048043.4985902256,0
2017,10285,34,224690.85714285713,518725.3333333333,0
2017,10285,35,0,1769722.7976190476,0
2017,10285,36,0,303377.0625,0
2017,21720,1,19418154.197420634,21192625.6,2398991
2017,21720,2,27570485.98160867,27484349.55873016,23087.368421052633
2017,21720,3,30095703.24937071,30248521.221852753,4617.473684210526
2017,21720,4,52457374.073843986,52123038.254233666,20788.53691004202
2017,21720,5,25747253.581234097,25768626.738909747,78953.63852374806
2017,21720,6,12653807.963160353,15652902.48808315,88439.59730776324
2017,21720,7,2815848.7559931297,5366690.971523859,17056.971360080082
2017,21720,8,491170,284779.8333333333,1008.4137931034483
2017,21720,9,861483.197368421,0,0
2017,21720,11,0,49071.33333333333,0
2017,21720,13,82014,0,0
2017,21740,1,154126349,98613841.66666667,228757355.2194805
2017,21740,2,78789297,157419252.30952382,14938360.301948052
2017,21740,3,223136385.16964284,139072217.69415584,11789559.793420816
2017,21740,4,1038582076.9259869,751752609.9271572,28438112.23410697
2017,21740,5,1207826204.4690583,904616332.6061707,16637272.79124101
2017,21740,6,484360893.9134437,434640080.99256665,4977127.84235359
2017,21740,7,312057833.96954864,331463528.1500181,2610647.0097743715
2017,21740,8,348498153.9495244,234903927.23719007,1815298.6935135175
2017,21740,9,361745293.49744546,340096711.20168275,1778627.1527940803
2017,21740,10,109820572.7758459,90594268.35026382,524252.4473154348
2017,21740,11,31576993.431346394,40657263.69456138,137093.71037892517
2017,21740,12,10818844.001332002,13732517.447820785,54049.123672714326
2017,21740,13,2812974.3968253965,0,11800.68
2017,21740,14,0,1131797.2222222222,0
2017,21740,15,359585.5,1349657,0
2017,21740,17,999883,0,0
2017,21740,19,241815,821219.5,0
2018,10110,2,90675232,162346243.08333334,1727760
2018,10110,3,60391421.6,123298443.51190476,81336
