sim,year,species_code,ess,value
1,2017,10110,ess_f,145.7853797851787
1,2017,10112,ess_f,293.1377012225039
1,2017,10115,ess_f,58.48394314874591
1,2017,10130,ess_f,195.25768061694248
1,2017,10210,ess_f,457.4287561643306
1,2017,10261,ess_f,201.54370513120205
1,2017,10285,ess_f,630.4374316703329
1,2017,21720,ess_f,472.15514109943723
1,2017,21740,ess_f,155.2001066309785
1,2018,10110,ess_f,249.11747120035633
1,2018,10112,ess_f,104.9504339122992
1,2018,10115,ess_f,20.920946921828016
1,2018,10130,ess_f,415.79250003743886
1,2018,10210,ess_f,504.59248603149456
1,2018,10261,ess_f,128.27227191092504
1,2018,10285,ess_f,186.18861500028024
1,2018,21720,ess_f,192.14281689618338
1,2018,21740,ess_f,160.92951187941085
1,2019,10110,ess_f,149.65428134425125
1,2019,10112,ess_f,153.8934299295757
1,2019,10115,ess_f,33.034087117465816
1,2019,10130,ess_f,248.16236039917268
1,2019,10210,ess_f,235.1922404261695
1,2019,10261,ess_f,199.3220346521886
1,2019,10285,ess_f,216.31809008302994
1,2019,21720,ess_f,11.513849868823627
1,2019,21740,ess_f,287.72962967337133
1,2021,10130,ess_f,958.2747840079073
1,2021,10210,ess_f,211.04608115286257
1,2021,10261,ess_f,190.2384663411609
1,2021,21740,ess_f,91.48814210174079
1,2017,10110,ess_m,42.93715259348715
1,2017,10112,ess_m,273.81825316420657
1,2017,10115,ess_m,42.98558073772803
1,2017,10130,ess_m,244.62974910087044
1,2017,10210,ess_m,805.4525780622552
1,2017,10261,ess_m,169.2172162249526
1,2017,10285,ess_m,149.5975753501931
1,2017,21720,ess_m,205.8177170002675
1,2017,21740,ess_m,240.7135438847659
1,2018,10110,ess_m,172.67365134625206
1,2018,10112,ess_m,136.59059983703193
1,2018,10115,ess_m,24.561548058593882
1,2018,10130,ess_m,179.04510313595188
1,2018,10210,ess_m,125.51940809615054
1,2018,10261,ess_m,182.67994858066797
1,2018,10285,ess_m,213.0422590563107
1,2018,21720,ess_m,257.6358380440817
1,2018,21740,ess_m,151.83786151023924
1,2019,10110,ess_m,142.4706856924788
1,2019,10112,ess_m,352.71577471855034
1,2019,10115,ess_m,148.03050517584362
1,2019,10130,ess_m,747.4988079155249
1,2019,10210,ess_m,246.4769953428473
1,2019,10261,ess_m,1007.4929792634218
1,2019,10285,ess_m,243.2843617757348
1,2019,21720,ess_m,13.342932648875248
1,2019,21740,ess_m,253.8615561553008
1,2021,10130,ess_m,191.01927984899487
1,2021,10210,ess_m,345.8396334096393
1,2021,10261,ess_m,72.57338236821046
1,2021,21740,ess_m,167.2985897345232
1,2017,10110,ess_t,114.53500250185584
1,2017,10112,ess_t,508.92536273330114
1,2017,10115,ess_t,340.00447166788985
1,2017,10130,ess_t,211.66928263025957
1,2017,10210,ess_t,842.3079969935125
1,2017,10261,ess_t,172.89349059847288
1,2017,10285,ess_t,445.57593467727935
1,2017,21720,ess_t,858.7847253686217
1,2017,21740,ess_t,559.0521154995373
1,2018,10110,ess_t,768.1190934908377
1,2018,10112,ess_t,249.11960583978413
1,2018,10115,ess_t,31.574907428052068
1,2018,10130,ess_t,550.2331699128205
1,2018,10210,ess_t,500.4207177069085
1,2018,10261,ess_t,243.93208710146138
1,2018,10285,ess_t,356.9705496781251
1,2018,21720,ess_t,643.1113630320164
1,2018,21740,ess_t,327.3125516462827
1,2019,10110,ess_t,123.63506937195822
1,2019,10112,ess_t,518.9620191258374
1,2019,10115,ess_t,60.08661967520121
1,2019,10130,ess_t,627.7829673519511
1,2019,10210,ess_t,339.7199506383194
1,2019,10261,ess_t,596.7958067988902
